Location name,Amount spent (CAD)
Alberta,20495
British Columbia,6399
Manitoba,3554
New Brunswick,1631
Newfoundland and Labrador,1159
Northwest Territories,132
Nova Scotia,1614
Nunavut,≤100
Ontario,27019
Prince Edward Island,349
Quebec,11021
Saskatchewan,1873
Unknown,≤100
Yukon,≤100
