Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
100477638805419,الراجل الي قهرهم,These ads ran without a disclaimer,≤100,1
132534763533314,وزير امراض القلب و الشرايين,These ads ran without a disclaimer,≤100,2
413993792772175,حركة مستقلون فاعلون الصفحة الرسمية,Yassine Choura,≤100,1
100889118029318,Digne Elvis Tsalissan Okombi,These ads ran without a disclaimer,≤100,1
107329544831360,Commission on Human Rights Region 02,These ads ran without a disclaimer,≤100,1
809115122485148,مركز التقدم العربي للتدريب والإستشارات - Arab Progress Center,These ads ran without a disclaimer,≤100,1
110919974897108,SH,These ads ran without a disclaimer,≤100,1
100696642943720,Daily Green,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
127187187348820,Kaspersky,These ads ran without a disclaimer,≤100,2
449387311916320,د.محمد صفوت هريدي,These ads ran without a disclaimer,≤100,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,1
756877521031964,CCTV+,These ads ran without a disclaimer,≤100,1
