Location name,Amount spent (MXN)
Aguascalientes,8314
Baja California,25318
Baja California Sur,3905
Campeche,6647
Chiapas,9928
Chihuahua,21780
Coahuila de Zaragoza,110267
Colima,5884
Distrito Federal,83036
Durango,6896
Guanajuato,22791
Guerrero,7214
Hidalgo,11903
Jalisco,235413
Michoacán de Ocampo,15758
Morelos,25201
Nayarit,3279
Nuevo León,57515
Oaxaca,6998
Puebla,35567
Querétaro Arteaga,15872
Quintana Roo,12588
San Luis Potosi,10696
Sinaloa,7003
Sonora,11257
State of Mexico,224877
Tabasco,5856
Tamaulipas,16229
Tlaxcala,5924
Unknown,≤100
Veracruz,20490
Yucatán,13684
Zacatecas,4041
