Location name,Amount spent (SEK)
Blekinge County,4596
Dalarna County,8255
Gotland County,2057
Gävleborg County,8967
Halland County,9528
Jämtland County,4754
Jönköping County,11635
Kalmar County,7202
Kronoberg County,5700
Norrbotten County,9056
Skåne County,42960
Stockholm County,84457
Södermanland County,9337
Unknown,≤100
Uppsala County,14424
Värmland County,7671
Västerbotten County,8449
Västernorrland County,7800
Västmanland County,8357
Västra Götaland County,54040
Örebro County,8562
Östergötland County,14166
