Location name,Amount spent (USD)
Azuay Province,483
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,195
Cotopaxi Province,197
El Oro Province,1039
Esmeraldas Province,218
Galápagos Province,≤100
Guayas Province,2815
Imbabura Province,196
Loja Province,129
Los Ríos Province,983
Manabí Province,1236
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,149
Pastaza Province,≤100
Pichincha Province,1075
Santa Elena Province,175
Santo Domingo de los Tsáchilas Province,873
Sucumbíos Province,≤100
Tungurahua Province,203
Unknown,≤100
Zamora-Chinchipe Province,≤100
