Location name,Amount spent (NZD)
Auckland Region,4886
Bay of Plenty Region,706
Canterbury,1099
Cook Islands,≤100
Gisborne District,131
Hawke's Bay,408
Manawatu-Wanganui,462
Marlborough Region,≤100
Nelson Province,134
Northland Region,399
Otago,424
Southland,179
Taranaki,254
Tasman District,≤100
Unknown,≤100
Waikato,1058
Wellington Region,872
West Coast,≤100
