Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,521
Bicol Region,7597
Cagayan Valley,2474
Calabarzon,10886
Caraga,1305
Central Luzon,5515
Central Visayas,2944
Cordillera Administrative Region,1043
Davao Region,3278
Eastern Visayas,1844
Ilocos Region,4936
Metro Manila,23311
Mimaropa,2672
Northern Mindanao,2244
Soccsksargen,1581
Unknown,≤100
Western Visayas,5632
Zamboanga Peninsula,1108
