Location name,Amount spent (VEF)
Amazonas,27500
Anzoátegui,1785187
Apure,590162
Aragua,18318279
Barinas,1500590
Bolívar (state),2250429
Capital District,5114868
Carabobo,54055100
Cojedes,500161
Delta Amacuro,107
Falcón,1001716
Guárico,500215
Lara,1905700
Miranda (state),1558682
Monagas,751019
Mérida,1250536
Nueva Esparta,751126
Portuguesa,750805
Sucre,500215
Trujillo,500590
Táchira,2751341
Unknown,≤100
Vargas,500912
Yaracuy,1030560
Zulia,105003540
