Location name,Amount spent (RON)
Alba County,573
Arad County,636
Argeș County,845
Bacău County,618
Bihor County,785
Bistrița-Năsăud County,418
Botoșani County,401
Brașov County,1027
Brăila County,390
Bucharest,3758
Buzău County,692
Caraș-Severin County,286
Cluj County,1275
Constanța County,1096
Covasna County,345
Călărași County,315
Dolj County,798
Dâmbovița County,636
Galați County,694
Giurgiu County,360
Gorj County,573
Harghita County,622
Hunedoara County,555
Ialomița County,275
Iași County,974
Ilfov County,584
Maramureș County,581
Mehedinți County,354
Mureș County,978
Neamț County,656
Olt County,403
Prahova County,1206
Satu Mare County,445
Sibiu County,671
Suceava County,893
Sălaj County,306
Teleorman County,263
Timiș County,1154
Tulcea County,215
Unknown,≤100
Vaslui County,327
Vrancea County,386
Vâlcea County,435
