Location name,Amount spent (INR)
Andaman and Nicobar Islands,189
Andhra Pradesh,95387
Arunachal Pradesh,1601
Assam,15353
Bihar,72412
Chandigarh,3794
Chhattisgarh,84922
Dadra and Nagar Haveli,631
Delhi,48506
Goa,2965
Gujarat,49730
Haryana,45100
Himachal Pradesh,12179
Jammu and Kashmir,6080
Jharkhand,18004
Karnataka,40348
Kerala,10820
Lakshadweep,≤100
Madhya Pradesh,370183
Maharashtra,133616
Manipur,252
Meghalaya,863
Mizoram,2119
Nagaland,604
Odisha,12643
Puducherry,715
Punjab region,28511
Rajasthan,289591
Sikkim,831
Tamil Nadu,53690
Telangana,100470
Tripura,1714
Unknown,≤100
Uttar Pradesh,127940
Uttarakhand,24059
West Bengal,37424
