Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
964080723662055,Carlos Subirana Responde,Editorial CSS,304,3
1239026999516818,Luis Fernando Camacho,Luis Fernando Camacho,183,2
105978465417563,Gobierno  Autónomo Departamental del Beni,Gobierno Autónomo Departamental del Beni,≤100,1
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100,2
105132091396199,Aleiza Alcira Rodríguez Montero.,Aleiza Alcira Rodriguez Montero,≤100,1
1967100150206417,Instituto de Formación Femenina Integral - IFFI,Maya Fatima Garcia Rodriguez,≤100,3
108470064614085,Rogelio Maldonado Concejal,Ronald Wilson Morales Llerena,≤100,2
458248597966121,Economy,Economy,≤100,1
104302605648398,Miguel Rejas,Miguel Rejas,≤100,1
2328823850688165,José M. Ormachea,José M. Ormachea,≤100,1
105653850798015,Marcelo Pedrazas,Erick Marcelo Pedrazas Lopez,≤100,1
181646422172306,FAM BOLIVIA,Edwin Quispe Ortiz,≤100,1
565643756889694,Viceministerio de Deportes del Estado Plurinacional de Bolivia,Juan Quiroga,≤100,1
102567349405578,nexosfilms,These ads ran without a disclaimer,≤100,1
536402899757101,LearnChile,These ads ran without a disclaimer,≤100,1
1890146454611538,DESMI A/S,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,2
100636899712,Uusi Suomi,These ads ran without a disclaimer,≤100,1
97410262628,EnginZone,These ads ran without a disclaimer,≤100,1
105848558790469,"Word Office - Reader, Editor & Viewer",These ads ran without a disclaimer,≤100,1
1449261928703911,Lux & Lush,These ads ran without a disclaimer,≤100,1
101801685891012,Revista Knowable,These ads ran without a disclaimer,≤100,1
161789877175634,Science at Taylor & Francis,These ads ran without a disclaimer,≤100,2
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
