Location name,Amount spent (JPY)
Aichi Prefecture,85682
Akita Prefecture,28739
Aomori Prefecture,2628
Chiba Prefecture,126774
Ehime Prefecture,46268
Fukui Prefecture,17942
Fukuoka Prefecture,151928
Fukushima Prefecture,4260
Gifu Prefecture,10970
Gunma Prefecture,17541
Hiroshima Prefecture,13309
Hokkaido,28163
Hyōgo Prefecture,77296
Ibaraki Prefecture,12123
Ishikawa Prefecture,7198
Iwate Prefecture,2916
Kagawa Prefecture,16776
Kagoshima Prefecture,12046
Kanagawa Prefecture,89905
Kumamoto Prefecture,12759
Kyoto Prefecture,118482
Kōchi Prefecture,2513
Mie Prefecture,37079
Miyagi Prefecture,13042
Miyazaki Prefecture,6756
Nagano Prefecture,36784
Nagasaki Prefecture,15642
Nara Prefecture,10570
Niigata Prefecture,9530
Okayama Prefecture,10539
Okinawa Prefecture,6135
Osaka Prefecture,383455
Saga Prefecture,36602
Saitama Prefecture,60212
Shiga Prefecture,10749
Shimane Prefecture,6795
Shizuoka Prefecture,19404
Tochigi Prefecture,42602
Tokushima Prefecture,3889
Tokyo,182146
Tottori Prefecture,1037
Toyama Prefecture,5096
Unknown,≤100
Wakayama Prefecture,10439
Yamagata Prefecture,19687
Yamaguchi Prefecture,2975
Yamanashi Prefecture,2242
Ōita Prefecture,17041
