Location name,Amount spent (HNL)
Atlántida Department,≤100
Bay Islands Department,≤100
Choluteca Department,≤100
Colón Department,≤100
Comayagua Department,≤100
Copán Department,≤100
Cortés Department,240
El Paraíso Department,190
Francisco Morazán Department,3504
Gracias a Dios Department,≤100
Intibucá Department,≤100
La Paz Department,≤100
Lempira Department,≤100
Ocotepeque Department,≤100
Olancho Department,108
Santa Bárbara Department,≤100
Unknown,≤100
Valle Department,≤100
Yoro Department,129
