Location name,Amount spent (INR)
Andaman and Nicobar Islands,161
Andhra Pradesh,88466
Arunachal Pradesh,1056
Assam,14481
Bihar,29770
Chandigarh,2170
Chhattisgarh,100418
Dadra and Nagar Haveli,1925
Delhi,45210
Goa,2889
Gujarat,53244
Haryana,30912
Himachal Pradesh,9518
Jammu and Kashmir,4356
Jharkhand,11214
Karnataka,45275
Kerala,14850
Lakshadweep,≤100
Madhya Pradesh,202396
Maharashtra,161635
Manipur,152
Meghalaya,905
Mizoram,2876
Nagaland,906
Odisha,10813
Puducherry,1125
Punjab region,26820
Rajasthan,128446
Sikkim,733
Tamil Nadu,38182
Telangana,52573
Tripura,1859
Unknown,109
Uttar Pradesh,86615
Uttarakhand,8783
West Bengal,71227
