Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
102034821807219,Borsik Viktor,Momentum Mozgalom,4764,1
122922027734811,feol.hu,Mediaworks Hungary Zrt.,4757,1
147633001941737,kisalfold.hu,kisalfold.hu,4650,1
197203437879379,Szaniszló Sándor,Szaniszló Sándor,4645,4
1627127484170228,NHC24,Mediaworks Hungary Zrt.,4610,1
1983509825309480,Tóth Endre,Momentum Mozgalom,4589,1
184922004946258,Horváth Csaba,Budapest Főváros XIV. Kerület Zugló Önkormányzata,4542,2
134324809941862,Szoljon.hu,Mediaworks Hungary Zrt.,4528,1
276554411147,Szabolcs Online,Mediaworks Hungary Zrt.,4501,1
296310837699,vaol.hu,Mediaworks Hungary Zrt.,4462,1
308871671705,BAON Bács-Kiskun vármegyei Online,Mediaworks Hungary Zrt.,4443,1
203158929827,Beol.hu Békés vármegyei online,Mediaworks Hungary Zrt.,4443,1
222720184518334,Font Sándor,Font Sándor,4388,4
823788047675556,Call of War,These ads ran without a disclaimer,4308,2
110528170650337,Csokonai15,Csokonai Nonprofit Kft.,4221,1
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,4078,2
332335697435625,Zsikó Zoltán,Zoltán Zsikó,3985,3
102474542009609,Megafilm,MEGA FILM Kft.,3954,1
177477379482620,MKKP BP XII. kerület,Magyar Kétfarkú Kutya Párt,3920,2
132593883577930,Dr. Keresztes László Lóránt,LMP - Magyarország Zöld Pártja,3892,1
422134944867351,Borsod24,Esélyegyenlőség és Fenntarthatóság Egyesület,3885,1
102877499117068,Pálfalvi Milán Nézőpontja,Nézőpont,3803,1
286146221590937,Direkt36,Direkt36,3731,1
103478164920832,Rubicon Intézet,Rubicon Intézet,3688,11
106963942072063,Halász Noémi,Momentum Mozgalom,3672,1
206829842043,Rétvári Bence,Rétvári Bence,3664,3
85568463466,Mérce,Mérce,3600,11
105774734948091,Hungarian Conservative,Hungarian Conservative,3547,6
1232913973409781,Provident Pénzügyi Zrt.,These ads ran without a disclaimer,3528,1
142116653162328,Márki-Zay Péter,Mindenki Magyarországa Mozgalom,3475,2
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",3453,1
1786913124951020,Mráz Ágoston Nézőpontja,Nézőpont Intézet,3407,4
105426960813144,Gergely Bálint,Momentum Mozgalom,3385,1
113189874366902,Föőr Gábor,Föőr Gábor,3357,2
106920862700810,JCC Budapest - Bálint Ház,Bálint Zsidó Közösségi Ház Alapítvány,3319,1
270300439972751,Szemlélek,Szemlélek Alapítvány,3312,3
