Location name,Amount spent (COP)
Amazonas,3382
Antioquia,8365091
Arauca,45170
Atlantico,1438572
Bolivar,731226
Boyaca,999380
Caldas,916295
Caqueta,291901
Casanare,231410
Cauca,442006
Cesar,202534
Choco,67265
Cordoba,419634
Cundinamarca,959031
Distrito Especial,5441267
Guainia,24643
Guaviare,13913
Huila,716968
La Guajira,103678
Magdalena,238354
Meta,537930
Narino,267381
Norte de Santander,748879
Putumayo,280982
Quindio,131116
Risaralda,1891526
San Andres y Providencia,106505
Santander,2140084
Sucre,259595
Tolima,487105
Unknown,983
Valle del Cauca,5031796
Vaupes,1398
Vichada,2199
