Location name,Amount spent (INR)
Andaman and Nicobar Islands,184
Andhra Pradesh,108043
Arunachal Pradesh,1085
Assam,14020
Bihar,36166
Chandigarh,2124
Chhattisgarh,77689
Dadra and Nagar Haveli,715
Delhi,43512
Goa,7555
Gujarat,48171
Haryana,36901
Himachal Pradesh,9919
Jammu and Kashmir,5419
Jharkhand,15589
Karnataka,46017
Kerala,14352
Lakshadweep,≤100
Madhya Pradesh,187179
Maharashtra,166700
Manipur,230
Meghalaya,875
Mizoram,2900
Nagaland,657
Odisha,14658
Puducherry,1039
Punjab region,26663
Rajasthan,130889
Sikkim,1833
Tamil Nadu,57948
Telangana,71847
Tripura,1743
Unknown,144
Uttar Pradesh,101049
Uttarakhand,11123
West Bengal,59365
