Location name,Amount spent (HUF)
Baranya County,69435
Borsod-Abaúj-Zemplén County,104025
Budapest,570642
Bács-Kiskun County,85505
Békés County,54863
Csongrád County,92598
Fejér County,99541
Győr-Moson-Sopron County,105742
Hajdú-Bihar County,111997
Heves County,61776
Jász-Nagykun-Szolnok County,58510
Komárom-Esztergom County,57847
Nógrád County,29593
Pest County,208701
Somogy County,51143
Szabolcs-Szatmár-Bereg County,74236
Tolna County,40493
Unknown,≤100
Vas County,54913
Veszprém County,58915
Zala County,53420
