Location name,Amount spent (USD)
Barisal Division,≤100
Chittagong Division,115
Dhaka Division,216
Khulna Division,≤100
Rajshahi Division,163
Rangpur Division,≤100
Sylhet Division,≤100
Unknown,≤100
