Location name,Amount spent (JMD)
Clarendon Parish,154
Hanover Parish,≤100
Kingston Parish,≤100
Manchester Parish,308
Portland Parish,≤100
Saint Andrew Parish,1846
Saint Ann Parish,154
Saint Catherine Parish,615
Saint Elizabeth Parish,154
Saint James Parish,311
Saint Mary Parish,≤100
Saint Thomas Parish,≤100
Trelawny Parish,≤100
Westmoreland Parish,≤100
