Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
137821525367,Yukon Federation of Labour,Yukon Federation of Labour,≤100,40
599601796904723,Humane Society International/Canada,Humane Society International/Canada,≤100,4
127882984614,Manitoba NDP,Manitoba NDP,≤100,10
630230954127159,Business Council of Alberta,Business Council of Alberta,≤100,2
317158175535179,BitLife,These ads ran without a disclaimer,≤100,6
985797494956599,The News Forum,The News Forum,≤100,34
1662424300678700,Montreal Economic Institute,Montreal Economic Institute,≤100,1
184374514949415,Darren Fisher,Office of MP Darren Fisher,≤100,1
163974530411362,Jean Coutu M. D'Amours & M. Leclerc,PHARMALEAD,≤100,3
419813708382526,"Claude Larochelle, conseiller municipal de Fabreville","Claude Larochelle, conseiller municipal",≤100,6
121658954562795,Mark Gerretsen,Mark Gerretsen,≤100,2
680726711994774,Uniprix Jean-Marc Bélanger,PHARMALEAD,≤100,2
656462304404326,Служба розшуку дітей,These ads ran without a disclaimer,≤100,5
420437455160941,Planet Friendly News,Planet Friendly News,≤100,1
1344251769044889,BC Rental Project,BC Rental Project,≤100,6
172806652795178,Edmonton Community Foundation,Edmonton Community Foundation,≤100,15
1538230646323033,SecondStreet.org,SecondStreet.org,≤100,3
259187344111223,Coastal First Nations,Coastal First Nations,≤100,8
132996628184,City of Vancouver - Local Government,City of Vancouver - Local Government,≤100,1
102165119596955,Canadian Autistic Adult Needs Assessment Survey,These ads ran without a disclaimer,≤100,1
159713615718,WWF-Canada,WWF-Canada,≤100,2
513913392293367,Saskatchewan Pulse Growers,Saskatchewan Pulse Growers,≤100,6
109934690732777,Encorp Atlantic/Atlantique,Encorp Atlantic / Atlantique,≤100,5
200217723858499,"Tony Wakeham, MHA, Stephenville-Port au Port","Tony Wakeham, MHA for Stephenville - Port au Port",≤100,12
163765883653829,Watershed Watch Salmon Society,Watershed Watch Salmon Society,≤100,14
101383048024137,Jean Coutu M. D'Amours,PHARMALEAD,≤100,3
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF) Canada,≤100,8
572892516092329,"Yvan Baker, MP","Yvan Baker, MP",≤100,2
2424592771126530,Jean Coutu La Plaine,PHARMALEAD,≤100,3
145655439443421,"Jean Coutu 515 Boul. Lacombe, Repentigny - secteur Le Gardeur",PHARMALEAD,≤100,2
484865984976254,ClickCease by CHEQ,These ads ran without a disclaimer,≤100,1
106365669977985,Unpointcinq,Unpointcinq,≤100,4
124239144255718,City of Calgary – Your Local Government,City of Calgary – Your Local Government,≤100,1
1031683916926804,GNWT Health and Social Services,Government of the Northwest Territories,≤100,1
392629388021829,Ally Global Foundation,Ally Global Foundation,≤100,8
300803733315174,Canadian Roots Exchange - Échanges Racines Canadiennes,Canadian Roots Exchange,≤100,2
214866875236330,PROMIS,Promis Immigration,≤100,9
49530722523,Ecojustice,Ecojustice,≤100,9
206962006904247,Le Grand Marché de Québec,Le Grand Marché de Québec,≤100,12
142580569097102,Ontario Liberal Party / Parti Libéral de l'Ontario,Ontario Liberal Party / Parti Libéral de l'Ontario,≤100,11
368355790316073,Municipality of Trent Hills,Municipality of Trent Hills,≤100,1
100212538213540,Kenora-Rainy River Districts Child and Family Services,Kenora-Rainy River Districts Child and Family Services,≤100,2
714595698939267,TPC - Therapeutic Psilocybin for Canadians,Therapsil,≤100,6
166673603350483,Nova Scotia PC Party,Twila Grosse - PC Candidate for Preston,≤100,1
387943258431185,Keepers of the Water,Keepers of the Water,≤100,1
728747700517089,Michael Barrett,Michael Barrett,≤100,5
468844636547019,Gouvernement du Nouveau-Brunswick,Government of New Brunswick,≤100,1
2002150870039027,Amarjot Sandhu,Brampton West PC Riding Association,≤100,2
213972982110718,Terry Beech,"Terry Beech, MP for Burnaby North Seymour",≤100,21
278388139026064,Patrick Brown,Patrick Brown,≤100,5
134455149912301,Seva Canada,Seva Canada,≤100,6
167559993283868,Nature Québec,Nature Québec,≤100,2
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,≤100,7
925033857594085,SureHealth Canada by GreenShield,SureHealth,≤100,22
1753253651454441,Government of the Northwest Territories,Government of the Northwest Territories,≤100,3
215046621957195,Société d'habitation du Québec (SHQ),Société d'habitation du Québec (SHQ),≤100,2
353695508437982,Oceans North,Oceans North,≤100,11
105288666168351,SOS Children's Villages Canada,SOS Children's Villages Canada,≤100,8
428551390928740,Fondation Rideau Hall Foundation,Rideau Hall Foundation,≤100,3
1490941977666347,Association de l'aluminium du Canada,Association de l'aluminium du Canada,≤100,3
1889849914634460,Shuv Majumdar,Shuvaloy Majumdar Campaign,≤100,2
149359161748927,Inuit Tapiriit Kanatami,Inuit Tapiriit Kanatami,≤100,1
114104888684854,Élections Ontario,Elections Ontario,≤100,2
1384607308450527,Jean Coutu Gaspé,ECOLEAD Marketing,≤100,2
179642688739082,Amnistie internationale Canada Francophone,Amnistie Internationale Canada Francophone,≤100,42
1395790247377471,Canadian Shooting Sports Association,Canadian Shooting Sports Association,≤100,2
114632184171471,Jenna Sudds,"Jenna Sudds, MP",≤100,8
243795232247,Mennonite Central Committee - MCC,Mennonite Central Committee - MCC,≤100,28
385453678169704,Association of Alberta Sexual Assault Services,Association of Alberta Sexual Assault Services,≤100,30
105091807647339,Jean Coutu Île-Perrot,PHARMALEAD,≤100,2
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,5
151220518390123,Canfor,Canfor,≤100,2
1451940021709442,Uniprix Michael Guay,PHARMALEAD,≤100,4
163428743693572,"City of Charlottetown, PE","City of Charlottetown, PE",≤100,1
1327997853986388,Brunet Plus Aylmer,PHARMALEAD,≤100,2
80851911931,Canadian Civil Liberties Association,Canadian Civil Liberties Association,≤100,31
842010632481715,National Observer,National Observer,≤100,1
2114146695521483,Damien C. Kurek,Damien C. Kurek (MP for Battle River-Crowfoot),≤100,5
118739134550330,Action collective - Centres de protection de la jeunesse,Alexeev Avocats inc.,≤100,1
1580746035533280,Terry Sheehan,"Terry Sheehan, MP for Sault Ste. Marie",≤100,3
161576757217190,City of Lethbridge- City Hall,City of Lethbridge- City Hall,≤100,2
209191002426864,County of Grande Prairie No. 1,the County of Grande Prairie,≤100,2
78753328415,Dogwood BC,Dogwood BC,≤100,2
113595515381248,City of West Kelowna,City of West Kelowna,≤100,1
102895714667734,Mères au front,Mères au front,≤100,3
126012407432250,Musée canadien pour les droits de la personne,Musée canadien pour les droits de la personne,≤100,1
