Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
102377305543409,AITC Meghalaya,Indian Political Action Committee,108985,133
986478178136878,BJP Tripura,Bharatiya Janata Party,101831,29
104516512296314,Kartikeya Sharma,Adv Tech,64707,53
953600271404690,BJP Meghalaya,Bharatiya Janata Party,49224,129
404746486258732,Project Nanhi Kali,Project Nanhi Kali,44877,24
21169267101,Give,Give,30947,6
326102339565,Oxfam India,Oxfam India,29814,21
107395897271506,Kutumb,Swatantra Verma,26470,27
304563947108797,Kinder World - हिंदी,Kinder World - हिंदी,25250,4
105671775473178,Jan Suraaj,Jan Suraaj,18014,55
426954117660096,Indian National Congress - Tripura,Indian National Congress - Tripura,13655,36
547354238619670,Dr. Ashwath Narayan,Vijay S,13416,5
109986065209042,Mera Apna Rahul,MeraApnaRahul,13250,78
100204332997540,5 Star Meghalaya,Design Boxed,11584,11
110115671863420,Kacche Din,Kacche Din,11294,10
170484126349815,Indian Cancer Society,Indian Cancer Society,10834,3
568928239883450,The Times Of A Better India,The Times Of A Better India,10734,2
104211439033799,Jagane Kavali,Jagane Kavali,9835,42
174283119250672,Save the Children India,Bal Raksha Bharat,9428,40
100626912687369,Kai Yerisi Karunadigagi - ಕೈ ಏರಿಸಿ ಕರುನಾಡಿಗಾಗಿ,Kai Yerisi  Karunadigagi,9373,52
30290552843,Greenpeace India,Greenpeace India Society,9259,59
270666596375251,Jhatkaa.org,Jhatkaa.org,8137,35
442710802417591,Baljeet Yadav,Baljeet Yadav,7673,2
113541631336757,Conman Conrad,Conman Conrad,7603,19
102218576103904,Badlaav ki Aandhi Priyanka Gandhi,Badlaav Ki Aandhi Priyanka Gandhi,7514,40
652657388214939,BJP Nagaland,Bharatiya Janata Party (BJP),7119,50
251971332383556,Yashveer Shoora,Mukesh Kumar Yadav,6730,6
1433526693616228,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,Himachali Rishta - हिमाचली रिश्ता डॉट कॉम,6665,11
206756829376811,BJP Delhi,BJP Delhi,6588,38
1535221630039925,Dr. Bhagwat Karad,Bhagvat Kisanrao Karad,6529,1
113364544766243,Congress Kallekai - ಕಾಂಗ್ರೆಸ್ ಕಳ್ಳೇಕಾಯ್,CongressKallekai.com,6486,3
105209472211637,Voice of Andhra,Voice of Andhra,6462,9
109707661884154,Indian Compass,theindiancompass.com,6376,34
350558792662542,Neeru Yadav,Parveen,6152,3
165227637400043,Mahant Balaknath Yogi,TrendyFeeds,6061,1
165227637400043,Mahant Balaknath Yogi,TrendyFeeds,6061,1
327120054405346,Jagananna ki Thoduga,Jagan Anna ki Thoduga,5947,41
103249462660090,TH Suresh Babu,Bharath Raj,5934,2
33497111948,Child Rights and You,Child Rights and You,5920,13
101512282514626,Pintu Sarkar,Pintu Sarkar,5614,20
107414168269023,Telangana Atma Gouravam,telanganaatmagouravam.com,5559,34
295405070641302,Balraj Kundu,Pankaj Sharma,5453,23
102099855874205,40% Sarkara - 40% ಸರ್ಕಾರ,40percentsarkara,5441,60
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,5323,18
113534787991473,তেইশে আবার বিজেপি সরকার,TeisheAbarBJPSarkaar.com,5255,17
674757045920691,Jayadev Galla,Aditya Vemulapalli,5185,2
1947296068903392,Vinay Saxena,Manish Soni,5090,7
1987488401557504,Mahathugbandhan - महाठगबंधन,Mahathugbandhan - महाठगबंधन,4904,24
108861325372008,Bharat Bhagya Vidhata,BharatBhagyaVidhata,4819,9
605390272841833,Shrirang Appa Barne,Abhay Balu Ahire,4787,4
106932525621052,T H Suresh Babu Followers,Bharath Raj,4763,2
101538858448134,The Summer News,Gagandeep Singh,4647,14
516250461917909,Sarkarnama,Sakal Media Private Limited,4613,1
1331545046906640,Gottumukkala Venkateshwara Rao,Venkateswar Rao Gottumukkala,4591,7
103782051383159,School of Politics,School of Politics,4503,39
541191682746522,Samarveer Kaushik,Samarvir Kaushik,4340,2
107395897271506,Kutumb,Kutumb App,4321,6
105509495777453,సాలు దొర సెలవు దొర,selavudora.com,4230,55
106590262277076,"Chokho Kaam, Jaadugar Naam",Chokhokaam Jaadugarnaam,4075,91
2078242259060363,Kukufm,Mohana Saha,3994,32
100341472149543,Naveen Goyal,Shamsher Singh,3968,50
100593012792684,Keerthan Kumar,Keerthan Kumar,3915,3
108536391949423,जनसेवक मंच,Pankaj Sharma,3852,15
718602095652380,North East with NaMo,marvelousmanipur.com,3756,13
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,3620,29
669198336772807,Audible,These ads ran without a disclaimer,3532,1
165714096933078,Piyush Goyal,Piyush Goyal,3467,2
1785302198354679,Dr. Somendra Tomar,Somendra Singh,3257,8
640369399392914,Baijayant 'Jay' Panda,Baijayant Panda,3229,2
102781925497507,Karpagam Hospital,Karpagam hospital,3208,12
2108726996065900,Bhawani Singh Rundal,Pawan Kumar Sharma,3165,5
1622408948038140,Bandhan Bank,These ads ran without a disclaimer,3141,1
108366798238330,Haryana Affordable Housing Scheme,Arpit Mittal,3054,2
102112998968049,भाषण कला स्पेशल,Pavankumar Dadasaheb Jadhav,3050,2
104356724540453,Naga People's Front - NPF,Naga People's Front - NPF,3046,2
117426084569698,Unfiltered Jammu Kashmir,Unfiltered Jammu Kashmir,3041,3
109772347318584,Khotikarok Modi,Khotikarok Modi,3015,3
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,2929,4
2131431707147401,AgriCentral,JIVA AGSERVICES PRIVATE LIMITED,2809,1
319646115419636,Arnold Massar,Arnold Massar,2764,14
505327936635830,Ashok Chandak,Coceptual Media,2744,27
114905439949088,Karuna Ashok Chandak,Coceptual Media,2695,16
1954072204870360,NEWJ,Anant Bhardwaj,2678,5
1559211387686845,Log 9 Materials,Log 9 Materials Scientific Private Limited,2674,8
137957159747076,Tarun Rathi,Rajesh Madanlal Agarwal,2592,2
225469604484322,"GI Tagged - Geographical Indications, India",GiTAGGED,2510,3
110762181824589,Janata Dal Secular Again,MG Digital Agency,2469,2
116400054677478,Pappu Pulakesh,Pappu Pulakesh,2433,43
102565995507823,Kuldeep,Kuldeep,2381,2
574023586326385,"Abhijit Wanjarri, MLC",Zaid Ahmed Khan,2370,6
334992293683612,Dr. Pramod Sawant,Dr. Pramod Sawant,2369,1
108122750692155,Dhanpal Suryanarayana,Dhanpal Surya Narayana,2361,1
105494724815217,Mahesh Sharma,Mahesh Sharma,2308,2
544920495569144,CP Joshi,CP Joshi,2302,10
132859090587882,Surajit Datta,Surajit Datta,2297,6
390976557590103,I Support Narendra Modi,I Support Narendra Modi,2285,2
457851894657063,BYOH Rishta - Uttarakhand Matrimonial Service  ब्योह रिश्ता,PSL SOLUTIONS,2284,4
102584546049699,Indira ka laal poore 5 saal,Indirakalaalpurepanchsaal,2245,131
221256415973730,Ankuram IVF,Ankuram IVF,2171,3
224618077692752,Sanjay Tandon,Saraansh Tandon,2151,8
148931718592314,Tarun Chugh,Adv Tech,2113,3
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,2100,13
132689140088396,smilefoundation,Smile Foundation,2097,5
285029500623,CARE India,CARE India,2080,21
127511739040748,Babasaheb D Patil,Babasaheb D Patil,2069,1
373495509407731,Vriksham - Pregnancy Care Education,These ads ran without a disclaimer,2051,1
100735178208398,Udyami India,Samadhan Samiti,2021,2
146702709146110,Ashu Singh Surpura,Ankit Kumawat,1984,9
545168122343271,S Muniraju,S Sendil Kumar,1968,3
101051246108452,Coimbatorein Udhay Anna - கோயம்புத்தூரின் உதய் அண்ணா,Politicode,1963,14
107864648831408,Nammavar Kamal Haasan,Nammavar kamal hassan,1944,4
832824220082662,Madan Yerawar,Balkrushna Gajanan Kaypelwar,1937,1
106782468661073,City News 24,Mohit Yadav,1893,3
388514341198452,ISB Executive Education,These ads ran without a disclaimer,1876,6
142752549111246,Construction World Magazine,Asapp Info Global Services Pvt. Ltd,1869,1
667862236707254,Rohit Kumar Singh,Arshad Ansari,1869,63
110982171838366,Shashikala Jolle - Nipani Fans,Pandurang Appanna Patil,1801,1
107022325270259,Rahul Jha,Rahul Jha,1793,1
101056732504706,Punjab BOLDA -Television,Gursharan Singh Sandhu,1789,6
1919641618278971,Sachin Chaudhary,Satish Kumar,1787,4
112503028387913,Dr. Manik Saha Fan Club,www.maniksahafanclub.com,1783,2
100941092921616,Ashok Kularia,Rahul,1782,1
216506801885954,Pankaj Chaudhary,Yash Bagh,1776,3
112290388372786,Shubham Yadav,Shubham Yadav,1771,1
422436998199014,Ram Prasad Paul,Sourav Das,1769,6
101992622618186,Dr. MS Daddenavar,Dr. MS Daddenavar,1767,1
107703715465727,Hyderabad E-Prix,These ads ran without a disclaimer,1731,1
524665794408050,CASA,Arushi Narchal,1704,10
155184094662465,Kesineni Nani,Srinivas Kesineni,1696,1
1826491730900559,Keshava Rajanna B,Abishek Nb,1640,8
106359681831413,Atal_yug,Nishit Jayantilal Kansagara,1638,3
201141296623500,Prakash Koliwad,DesignBoxed,1633,25
103251851710926,Akula Srivani,Anjan Kumar Akula,1608,9
571167629925037,Ravi Boseraju,Somchandra Penumatcha,1601,3
1399553863632546,Kolan Hanmanth Reddy,Kolan Hanmanth Reddy,1600,2
102106021886833,A K Sharma,Harish Sahrawat,1594,1
1783001841927248,Nutan Odisha,Cloud & Loud Communications,1594,8
161214324393440,Muthamil Public School,Muthamil Public School,1582,1
577856385582447,Raghu Sharma,Kanishk Bansal,1566,8
642996226201566,Sudhakar Shrangare,Aslam Afroz Kazi,1551,2
213947398791863,Dhananjai Singh Khimsar,Dhananjai Singh,1546,4
1631595667106434,Priya Krishna,Priya Krishna,1537,2
101031682657397,Koppula Mahesh Reddy,K Mahesh Reddy,1525,2
306387566086726,T B Jayachandra,T B Jayachandra,1520,1
101566225414298,Innovation Mission Punjab,Innovation Mission Punjab,1489,3
111785508429928,Aramane Shankar,Aramane Shankar,1458,1
105815225595031,मोदी साथे राजस्थान,modisaatherajasthan.com,1442,6
288147017999361,Naini Rajender Reddy,Naini Rajender Reddy,1419,2
103370585969591,Baghel ka Bharosa,Baghel Ka Bharosa,1399,43
713898462043806,Deepak Chinchore,Sameerkhan S Havaldar,1379,3
132309676835568,Lokmat,Pranoti Vasant Dalvi,1366,2
109735351891742,Apex India service,Ajay Tiwari,1358,4
270004953755495,Murji Patel,Our Dreamwork,1347,7
108923581963430,Nirmamata,nirmamata.com,1345,51
101713962007976,Amrit Mahotsav,Amrit Mahotsav,1335,11
1757441471197224,Hardik Patel,Hardik Patel,1331,3
102123079337554,International Society for Krishna Consciousness,ISKCON Delhi,1330,2
219839024870824,Dr. Ramesh Chennamaneni,Dr. Ramesh Chennamaneni,1330,1
369780283211302,Dr. Sudhakar K,Dr. Sudhakar K,1326,8
1235786446534273,Ajeet Patil Kavhekar,Rahul Rajendra Birajdar,1286,3
102754365335887,Udhay Anna,Udhay Anna,1283,4
111527528465749,Rao Prem Singh,Sachin Sharma,1280,3
109485930750665,Agni Herbbals,C Rajivkannu,1276,4
2025274010873024,Thokala Srinivas Reddy,Sanvi Kreations,1259,6
102098615927130,Nam Namo - ನಮ್ ನಮೋ,karunadueesanje.com,1255,5
764169903692675,Randeep Singh Surjewala,Rajender Kumar,1250,10
107533605102536,Panchanagouda Dyamanagoudar Official,Sangmesh Kallappa Modi,1245,14
347337386104390,Rama Chandra Yadav,B Ramachandra,1242,2
106612542205687,Chennayin Udhay anna - சென்னையின்  உதய் அண்ணா,Politicode,1238,6
1530456743864870,Dr Subedar shahapur,Shubham Kumar Gupta,1233,5
102410136024947,CMJAY UTPAL,Utpal Infra project LLP,1228,2
1112841015517400,Dr Prashant Korat,Prashant Savjibhai Korat,1228,8
102741892267001,Meghalaya Deserves Better,Meghalaya Deserves Better,1213,8
112649491677030,Mohan Rao Patel Bhosle,Mohan Rao Patel Bhosle,1202,2
104881231904370,Sanjeev Kumar Gupta,Sanjeev Kumar Gupta,1184,4
234910573228520,Chhattisgarh Tourism,Chhattisgarh Tourism,1182,1
