Location name,Amount spent (COP)
Amazonas,556
Antioquia,2870990
Arauca,10853
Atlantico,192817
Bolivar,109514
Boyaca,38912
Caldas,108121
Caqueta,30149
Casanare,15782
Cauca,138960
Cesar,47583
Choco,21050
Cordoba,74840
Cundinamarca,425418
Distrito Especial,6290385
Guainia,1439
Guaviare,7775
Huila,147856
La Guajira,27654
Magdalena,70106
Meta,138098
Narino,77947
Norte de Santander,163723
Putumayo,193325
Quindio,47935
Risaralda,131360
San Andres y Providencia,3153
Santander,261990
Sucre,33679
Tolima,202783
Unknown,211
Valle del Cauca,2027449
Vaupes,352
Vichada,1119
