Location name,Amount spent (DKK)
Capital Region of Denmark,27786
Central Denmark Region,12831
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5698
Region of Southern Denmark,11611
Unknown,≤100
Zealand Region,8012
