Location name,Amount spent (ARS)
Buenos Aires,1367327
Catamarca,28574
Chaco,131141
Chubut,213661
Ciudad Autónoma de Buenos Aires,385753
Corrientes,66050
Córdoba,2928605
Entre Rios,133340
Formosa,34355
Jujuy,167375
La Pampa,335037
La Rioja,166005
Mendoza,254466
Misiones,226923
Neuquén,676780
Río Negro,371029
Salta,766874
San Juan,481063
San Luis,168390
Santa Cruz,26960
Santa Fe,468388
Santiago del Estero,27563
Tierra del Fuego,229747
Tucuman,205727
Unknown,220
