Location name,Amount spent (COP)
Amazonas,1811
Antioquia,1861733
Arauca,22952
Atlantico,622621
Bolivar,286286
Boyaca,95018
Caldas,211537
Caqueta,66110
Casanare,35372
Cauca,306503
Cesar,113664
Choco,33811
Cordoba,182779
Cundinamarca,377606
Distrito Especial,6719549
Guainia,1374
Guaviare,4650
Huila,290819
La Guajira,57287
Magdalena,157164
Meta,344008
Narino,169963
Norte de Santander,338010
Putumayo,47435
Quindio,120735
Risaralda,499518
San Andres y Providencia,9549
Santander,229881
Sucre,93018
Tolima,189937
Unknown,≤100
Valle del Cauca,3224659
Vaupes,874
Vichada,2019
