Location name,Amount spent (ISK)
Capital Region,75382
Eastern Region,2385
Northeastern Region,6890
Northwestern Region,1115
Southern Peninsula,4093
Southern Region,5946
Unknown,≤100
Western Region,4027
Westfjords,1269
