Location name,Amount spent (CHF)
Aargau,252
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,137
Basel-Landschaft,≤100
Bern,371
Canton of Geneva,557
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,365
Fribourg,158
Graubünden,≤100
Jura,≤100
Luzern,133
Neuchâtel,103
Schaffhausen,≤100
Schwyz,≤100
Solothurn,≤100
Thurgau,≤100
Ticino,219
Unknown,≤100
Uri,≤100
Valais,169
Vaud,464
Zug,≤100
Zürich,2381
