Location name,Amount spent (CAD)
Alberta,13766
British Columbia,12627
Manitoba,3143
New Brunswick,1888
Newfoundland and Labrador,618
Northwest Territories,144
Nova Scotia,1703
Nunavut,≤100
Ontario,27453
Prince Edward Island,263
Quebec,14547
Saskatchewan,2345
Unknown,≤100
Yukon,105
