Location name,Amount spent (PKR)
Azad Kashmir,954
Balochistan,2540
Federally Administered Tribal Areas,266
Gilgit-Baltistan,532
Islamabad Capital Territory,16459
Khyber Pakhtunkhwa,13477
Punjab,44682
Sindh,16128
Unknown,≤100
