Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,151
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,388
Montevideo Department,730
Paysandú Department,1919
Rivera Department,483
Rocha Department,≤100
Río Negro Department,160
Salto Department,102
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
