Location name,Amount spent (NZD)
Auckland Region,4208
Bay of Plenty Region,923
Canterbury,1789
Cook Islands,≤100
Gisborne District,118
Hawke's Bay,441
Manawatu-Wanganui,687
Marlborough Region,116
Nelson Province,263
Northland Region,457
Otago,533
Southland,285
Taranaki,306
Tasman District,119
Unknown,≤100
Waikato,1181
Wellington Region,1203
West Coast,≤100
