Location name,Amount spent (RON)
Alba County,523
Arad County,731
Argeș County,1260
Bacău County,1056
Bihor County,1100
Bistrița-Năsăud County,446
Botoșani County,636
Brașov County,993
Brăila County,495
Bucharest,9403
Buzău County,811
Caraș-Severin County,396
Cluj County,1589
Constanța County,1107
Covasna County,327
Călărași County,317
Dolj County,1057
Dâmbovița County,629
Galați County,1059
Giurgiu County,296
Gorj County,675
Harghita County,591
Hunedoara County,568
Ialomița County,290
Iași County,1906
Ilfov County,1728
Maramureș County,857
Mehedinți County,322
Mureș County,866
Neamț County,1123
Olt County,420
Prahova County,914
Satu Mare County,494
Sibiu County,628
Suceava County,893
Sălaj County,296
Teleorman County,335
Timiș County,1318
Tulcea County,304
Unknown,≤100
Vaslui County,480
Vrancea County,742
Vâlcea County,607
