Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
441539862613489,Foreldrasamtök gegn áfengisauglýsingum,Foreldrasamtök gegn áfengisauglýsingum,22482,2
737169626371453,Heimildin,Stundin,17380,3
421599157910800,Mazda á Íslandi - Brimborg,These ads ran without a disclaimer,1866,1
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,1027,31
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,177,1
154893001218870,ADHD samtökin,ADHD samtökin,159,1
185741612014,Nordisk Ministerråd og Nordisk Råd,These ads ran without a disclaimer,136,2
550751965021284,Success Resources,These ads ran without a disclaimer,≤100,1
117923164930140,Lifandi vísindi- Lifandi saga,Lifandi vísindi- Lifandi saga,≤100,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,3
103460351136160,ChicMe-UK,These ads ran without a disclaimer,≤100,1
122522717506421,3D All Over Print Shirts,These ads ran without a disclaimer,≤100,1
111456000620617,Jeremy Harry Harris,These ads ran without a disclaimer,≤100,1
130467394263248,Dyness,These ads ran without a disclaimer,≤100,1
100451933698060,AdVenture Communist,These ads ran without a disclaimer,≤100,1
