Location name,Amount spent (PYG)
Alto Paraguay Department,99015
Alto Paraná Department,1221504
Amambay Department,52054
Asunción,623029
Boquerón department,45108
Caaguazú Department,493276
Caazapá Department,86132
Canindeyú Department,44124
Central Department,1811046
Concepción Department (Paraguay),41567
Cordillera Department,114653
Guairá Department,244407
Itapúa Department,402716
Misiones Department,49934
Paraguarí Department,63653
Presidente Hayes Department,175765
San Pedro Department,67496
Unknown,≤100
Ñeembucú Department,78718
