Location name,Amount spent (EUR)
Alsace,614
Aquitaine,1003
Auvergne,292
Basse-Normandie,362
Bourgogne,399
Bretagne,866
Centre,702
Champagne-Ardenne,297
Corse,108
Franche-Comté,255
French Guiana,≤100
Guadeloupe,≤100
Haute-Normandie,696
Languedoc-Roussillon,905
Limousin,169
Lorraine,732
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,888
New Caledonia,≤100
Nord-Pas-de-Calais,974
Pays de la Loire,1013
Picardie,444
Poitou-Charentes,436
Provence-Alpes-Côte d'Azur,1777
Reunion Island,114
Rhône-Alpes,1757
Unknown,≤100
Île-de-France,3501
