Location name,Amount spent (HUF)
Baranya County,349815
Borsod-Abaúj-Zemplén County,605403
Budapest,2099827
Bács-Kiskun County,495457
Békés County,318212
Csongrád County,450630
Fejér County,405778
Győr-Moson-Sopron County,472364
Hajdú-Bihar County,512424
Heves County,275205
Jász-Nagykun-Szolnok County,360664
Komárom-Esztergom County,298646
Nógrád County,158176
Pest County,1176586
Somogy County,271483
Szabolcs-Szatmár-Bereg County,499373
Tolna County,211064
Unknown,2297
Vas County,260769
Veszprém County,323506
Zala County,257039
