Location name,Amount spent (EGP)
Al Sharqia Governorate,3921
Alexandria Governorate,4473
Aswan Governorate,735
Asyut Governorate,1604
Beheira Governorate,2414
Beni Suef Governorate,1148
Cairo Governorate,10016
Dakahlia Governorate,4196
Damietta Governorate,1210
Faiyum Governorate,1327
Gharbia Governorate,3201
Giza Governorate,2992
Ismailia Governorate,862
Kafr el-Sheikh Governorate,1896
Luxor Governorate,499
Matrouh Governorate,309
Minya Governorate,1756
Monufia Governorate,2303
New Valley Governorate,353
North Sinai Governorate,343
Port Said Governorate,649
Qalyubia Governorate,2706
Qena Governorate,1301
Red Sea Governorate,485
Sohag Governorate,2202
South Sinai Governorate,172
Suez Governorate,490
Unknown,≤100
