Location name,Amount spent (IDR)
Aceh,930348
Bali,1927020
Bangka–Belitung Islands,326696
Banten,3040626
Bengkulu,739185
Central Java,11981632
Central Kalimantan,781111
Central Sulawesi,1005894
East Java,14248644
East Kalimantan,1482605
East Nusa Tenggara,2142383
Gorontalo,511768
Jakarta,5941808
Jambi,1111622
Lampung,2639014
Maluku,551969
North Kalimantan,225392
North Maluku,384504
North Sulawesi,2083734
North Sumatra,5367938
Papua (province),717779
Riau,2932365
Riau Islands Province,783840
South Kalimantan,812652
South Sulawesi,3198575
South Sumatra,2989432
Southeast Sulawesi,660268
Special Region of Yogyakarta,1888799
Unknown,4763
West Java,10242078
West Kalimantan,1405186
West Nusa Tenggara,1725889
West Papua,375895
West Sulawesi,373939
West Sumatra,1337274
