Location name,Amount spent (THB)
Amnat Charoen,122
Ang Thong,≤100
Ayutthaya,1402
Bangkok,21863
Bueng Kan,125
Buriram,420
Chachoengsao,838
Chai Nat,113
Chaiyaphum,1659
Chanthaburi,972
Chiang Mai,749
Chiang Rai,452
Chon Buri,4655
Chumphon,849
Kalasin,271
Kamphaeng Phet,535
Kanchanaburi,425
Khon Kaen,1454
Krabi,1522
Lampang,256
Lamphun,144
Loei,195
Lop Buri,226
Mae Hong Son,≤100
Maha Sarakham,357
Mukdahan,158
Nakhon Nayok,≤100
Nakhon Pathom,1629
Nakhon Phanom,1559
Nakhon Ratchasima,1321
Nakhon Sawan,683
Nakhon Si Thammarat,2765
Nan,334
Narathiwat,518
Nong Bua Lam Phu,146
Nong Khai,191
Nonthaburi,909
Pathum Thani,963
Pattani,615
Phangnga,383
Phatthalung,1645
Phayao,725
Phetchabun,230
Phetchaburi,447
Phichit,435
Phitsanulok,3350
Phrae,135
Phuket,2656
Prachin Buri,181
Prachuap Khiri Khan,383
Ranong,272
Ratchaburi,732
Rayong,870
Roi Et,369
Sa Kaeo,168
Sakon Nakhon,617
Samut Prakan,2280
Samut Sakhon,2040
Samut Songkhram,117
Saraburi,399
Satun,333
Sing Buri,≤100
Sisaket,506
Songkhla,2159
Sukhothai,694
Suphan Buri,361
Surat Thani,13242
Surin,418
Tak,202
Trang,1688
Trat,278
Ubon Ratchathani,691
Udon Thani,612
Unknown,≤100
Uthai Thani,122
Uttaradit,164
Yala Province,498
Yasothon,255
