Location name,Amount spent (GTQ)
Alta Verapaz Department,2246
Baja Verapaz Department,626
Chimaltenango Department,2789
Chiquimula Department,1027
El Progreso Department,773
Escuintla Department,3464
Guatemala Department,45957
Huehuetenango Department,3078
Izabal Department,1895
Jalapa Department,1196
Jutiapa Department,2273
Petén Department,1504
Quetzaltenango Department,4235
Quiché Department,1905
Retalhuleu Department,1275
Sacatepéquez Department,3795
San Marcos Department,6871
Santa Rosa Department,1124
Sololá Department,1820
Suchitepéquez Department,1728
Totonicapán Department,1163
Unknown,≤100
Zacapa Department,726
