Page ID,Page name,Disclaimer,Amount spent (PEN),Number of ads in Library
109019574560600,Aula Gaceta,Joel V. Supo Baldo,599,4
317113615022843,César Acuña,Cesar Acuña Peralta,411,7
264223880347121,Lampadia Oficial,LAMPADIA,279,39
1650216218535063,Oceana Perú,Oceana Perú,276,3
100500902383840,Propuestas del Bicentenario,Videnza Fundación,271,2
140765589379192,Pedro Spadaro,El Callao Contigo Pedro Spadaro,119,3
462790453744032,Sutep,Sindicato Unitario de Trabajadores en la Educación del Perú - SUTEP,105,13
432950953564544,Pancho Massa,Francisco Massa,≤100,2
142062936237878,Goberna,Goberna,≤100,10
110550031837683,Emaús Reciclando,Emaús Reciclando,≤100,2
111414617139812,Centro de Capacitación y Desarrollo - CCD,These ads ran without a disclaimer,≤100,1
534284396949027,Ilich López,Renzo Jireh Casas Torres,≤100,1
1805183599788143,Silvia Monteza,Héctor Melgar Sandoval,≤100,2
687691121319854,Ernesto Álvarez Miranda,Ernesto Julio Alvarez Miranda,≤100,1
103991879125054,Corrupcion Tarapoto,Clarisa Ramirez Diaz,≤100,1
474392346103738,RCR Red de Comunicación Regional,Red de Comunicación Regional,≤100,3
235551359867840,CooperAcción,CooperAcción,≤100,2
110084835426195,Tarotista de ayuda espiritual,Sebastian Sanchez,≤100,2
523337141056621,CONFIEP,CONFIEP,≤100,1
100330785132565,Saca tu cuenta,Juan Jose Garcia Chau,≤100,1
115866821422920,Región 3,Región 3,≤100,1
1254455981284350,Otto Guibovich,Otto Napoleon Guibovich Arteaga,≤100,1
245729778890600,Peru Negocios Consulting SAC,These ads ran without a disclaimer,≤100,1
316564475960113,Estudio Jurídico Tarazona & Asociados,Diego Alberto Isla Yengle,≤100,4
141796229342716,Comexperu,These ads ran without a disclaimer,≤100,1
109808225725403,DAR Perú,DAR Perú,≤100,1
106267764546494,Gente de a pie,These ads ran without a disclaimer,≤100,1
501011359923743,IDL-Instituto de Defensa Legal,Jose Del Carmen Rojas Chuya,≤100,1
109824238171396,Elías Rodríguez Página Oficial,Patricia Ysabel Paredes Valles,≤100,4
330308820924985,Joshie,Joshie,≤100,2
101053675911037,Fabri & Asociados Consultoría Política y de Mercadeo,Whilber Eugenio Huallanca Conde,≤100,1
1729728707258166,Gabriel Antonio Madrid Orue,Gabriel Antonio Madrid Orue,≤100,2
342664855864,Consorcio de Investigación Económica y Social,Consorcio de Investigación Económica y Social,≤100,2
101070661376737,BTH HOTEL Arequipa Lake,These ads ran without a disclaimer,≤100,1
102471834787899,Manuel Encalada,Manuel Alfonso Encalada Oncihuay,≤100,2
120711281333057,Municipalidad de San Isidro,William Levano Sanchez,≤100,1
108226268491370,ValCorp Inmobiliaria,ValCorp Inmobiliaria,≤100,1
110000234091637,Manuel Landerer - Pueblo Libre,Manuel Landerer,≤100,1
101382872505878,Dennis Sánchez,Dennis Sánchez,≤100,1
110017409083497,"""Area Para el Desarrollo en Valores Humanos"" (Instituto Sai Peru)",Juan Carlos Ponce de León Aguirre,≤100,1
417661094920749,Mas Que Consumidores,Abdon César Augusto Delgado La Cotera,≤100,1
200561513351250,Municipalidad Provincial de San Martín,Edgar Rios Espinoza,≤100,1
103246188745493,Jorge Panduro,Jorge Panduro Ruiz,≤100,1
110500291641899,Municipalidad Distrital de El Porvenir Pelejo. Gestión 2023-2026,Bruno Castillo,≤100,1
104723341438240,EnRumbo Noticias,EnRumbo Noticias,≤100,1
494683000983271,Dr. Marco Ramos,Marco Ramos,≤100,1
100613652687537,Cohesión,Chani Mejia,≤100,1
332636986883683,Reynaldo Encalada,Reynaldo Rodolfo Encalada Tovar,≤100,1
100338448692869,Congresista Héctor Ventura,Bruce Jeremy Bazán Vásquez,≤100,1
