Location name,Amount spent (ZAR)
Eastern Cape,921
Free State,562
Gauteng,3600
KwaZulu-Natal,1138
Limpopo,525
Mpumalanga,461
North West,327
Northern Cape,137
Unknown,≤100
Western Cape,3446
