Location name,Amount spent (MXN)
Aguascalientes,6529
Baja California,16906
Baja California Sur,5232
Campeche,7058
Chiapas,11241
Chihuahua,18766
Coahuila de Zaragoza,56987
Colima,17584
Distrito Federal,99212
Durango,4298
Guanajuato,16663
Guerrero,6264
Hidalgo,11635
Jalisco,534454
Michoacán de Ocampo,33695
Morelos,18442
Nayarit,2290
Nuevo León,43155
Oaxaca,7253
Puebla,14997
Querétaro Arteaga,11215
Quintana Roo,8043
San Luis Potosi,9724
Sinaloa,6900
Sonora,9147
State of Mexico,253976
Tabasco,11443
Tamaulipas,19881
Tlaxcala,3785
Unknown,≤100
Veracruz,16169
Yucatán,25684
Zacatecas,3147
