Location name,Amount spent (DKK)
Capital Region of Denmark,49172
Central Denmark Region,26774
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12957
Region of Southern Denmark,24527
Unknown,≤100
Zealand Region,16378
