Location name,Amount spent (COP)
Amazonas,1345
Antioquia,8576428
Arauca,20882
Atlantico,971387
Bolivar,169999
Boyaca,273588
Caldas,247892
Caqueta,82547
Casanare,80263
Cauca,161268
Cesar,576868
Choco,18585
Cordoba,422312
Cundinamarca,384178
Distrito Especial,1889582
Guainia,9746
Guaviare,8239
Huila,710839
La Guajira,80313
Magdalena,328537
Meta,326759
Narino,63834
Norte de Santander,462895
Putumayo,82955
Quindio,125703
Risaralda,441433
San Andres y Providencia,4514
Santander,461149
Sucre,161811
Tolima,130252
Unknown,274
Valle del Cauca,3804398
Vaupes,253
Vichada,756
