Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
101014586118927,Apkshop,Graciete De Carvalho Faustino,2210,1
102378709341708,Boubacar Diallo,These ads ran without a disclaimer,549,1
157438094324143,The Nature Conservancy in Africa,These ads ran without a disclaimer,103,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
268443707113416,Luanda Sul Line,These ads ran without a disclaimer,≤100,1
103404475977203,a_mada_escreve,These ads ran without a disclaimer,≤100,1
11949538375,chinadialogue,These ads ran without a disclaimer,≤100,1
243823465988576,Fãs do Enfermeiro Forense Albino Gomes,These ads ran without a disclaimer,≤100,1
106245928863654,Pandex Rosário,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,2
584462848713978,Oliveira Labs,These ads ran without a disclaimer,≤100,1
237650313048963,China Admissions,These ads ran without a disclaimer,≤100,1
