Location name,Amount spent (PYG)
Alto Paraguay Department,61206
Alto Paraná Department,7748454
Amambay Department,915295
Asunción,7757387
Boquerón department,372776
Caaguazú Department,2275874
Caazapá Department,523915
Canindeyú Department,678747
Central Department,16875728
Concepción Department (Paraguay),962761
Cordillera Department,1770774
Guairá Department,859452
Itapúa Department,3630298
Misiones Department,1113736
Paraguarí Department,875761
Presidente Hayes Department,509842
San Pedro Department,1000774
Unknown,893
Ñeembucú Department,542017
