Location name,Amount spent (CZK)
Central Bohemian Region,8249
Hradec Králové Region,3544
Karlovy Vary Region,1840
Liberec Region,2745
Moravian-Silesian Region,7740
Olomouc Region,4105
Pardubice Region,3260
Plzeň Region,3849
Prague,16882
South Bohemian Region,3941
South Moravian Region,9337
Unknown,≤100
Vysočina Region,2994
Zlín Region,3478
Ústí nad Labem Region,5352
