Location name,Amount spent (HUF)
Baranya County,48102
Borsod-Abaúj-Zemplén County,72557
Budapest,293216
Bács-Kiskun County,60642
Békés County,41102
Csongrád County,54620
Fejér County,55571
Győr-Moson-Sopron County,51781
Hajdú-Bihar County,58595
Heves County,81582
Jász-Nagykun-Szolnok County,180025
Komárom-Esztergom County,34177
Nógrád County,19956
Pest County,151743
Somogy County,36851
Szabolcs-Szatmár-Bereg County,50507
Tolna County,29504
Unknown,≤100
Vas County,33565
Veszprém County,39223
Zala County,37484
