Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,20661244,63
101350709331663,Golkar 2024,Yayasan Golkar Institut SPKP,16238614,92
23383061178,Prabowo Subianto,indonesia Adil makmur,10898084,5
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,9343211,52
108132042285089,Erwin Aksa,Yayasan Golkar Institute,9118542,116
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,6360875,13
111864151754055,Esensi TV,Esensi Tv,2727226,54
104830667806476,Melihat Indonesia,Melihat Indonesia,2424888,69
110419528729730,Golkar Makassar,Yayasan Golkar Institute,2005600,12
102656349157647,Tugimanisme,Tugimanisme,1595335,36
100159712647702,Fakta Anies Baswedan,Fakta Anies Baswedan,1321940,13
106918395489616,Golkar Institute SPKP,Yayasan Golkar Institut SPKP,1260801,8
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,1165015,10
103301445622409,Aksi Tanggap Anies,Aksi Tanggap Anies,1032649,10
168218596696591,Hetifah Sjaifudian,Yayasan Golkar Institute,1017857,8
104899195891472,Berita Ganjar Pranowo,Berita Ganjar Pranowo,899961,100
110952238516382,Kiki Daliyo,Kiki Daliyo,822088,30
101804639078770,Unboxing Anies,Unboxing Anies,704690,8
164909433966316,Suara Anies,Suara Anies,671564,11
106690092440342,Pemilu KIT,PEMILU KIT,636012,18
106894958316644,Relawan sintawati,Relawan sintawati,624491,33
197545083607941,Harian Kompas,Harian Kompas,601775,16
102141366190224,Saiful Halim,KBS,534619,3
1004727719661767,Rian Ernest,Yayasan Golkar Institute,504279,6
256838011014355,Partai Gerakan Indonesia Raya (Gerindra),Partai Gerindra,490306,7
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,412835,7
107600565668590,Munafri Arifuddin,Yayasan Golkar Institute,405185,5
349963858704476,Komit Digital,Komit Digital,393609,70
104920542152835,Caleg Pilihan Kita,Caleg Pilihan Kita,389837,5
1885017341733339,Relawan Anies,Relawan Anies,384083,2
110195418669687,Sahabat Yatim,Yayasan Sahabat Yatim Indonesia,358763,7
39253583478,PDI Perjuangan,PDI Perjuangan,356435,33
104161768809633,Dompet Yatim Dan Dhuafa,Dompet Yatim Dan Dhuafa,313185,1
110547131467051,Ikfina Fahmawati,Ikfina Fahmawati,275003,12
102694049539010,Don't Starve: Pocket Edition,These ads ran without a disclaimer,256360,1
101892459525100,Jejak Kaki Garuda,Jejak Kaki Garuda,252855,5
1494458037342324,Prabowo Menyapa,Prabowo Menyapa,236857,2
100838176379345,Sahabat selly farisa,Sahabat selly farisa,235792,12
1985678091452485,Sally  Rachmasari,Partai Solidaritas Indonesia,233588,1
110799152010497,Prabowo Lanjutkan Kepemimpinan,Prabowo Lanjutkan Kepemimpinan,227833,7
104317482149268,DPRD Provinsi Jawa Timur,DPRD Provinsi Jawa Timur,219939,11
225743208016201,Grace Anastasia PSI,Partai Solidaritas Indonesia,219011,1
