Location name,Amount spent (EUR)
Alsace,1127
Aquitaine,2342
Auvergne,672
Basse-Normandie,768
Bourgogne,841
Bretagne,1693
Centre,1290
Champagne-Ardenne,726
Corse,314
Franche-Comté,575
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,1025
Languedoc-Roussillon,2163
Limousin,380
Lorraine,1562
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1722
New Caledonia,≤100
Nord-Pas-de-Calais,2336
Pays de la Loire,1773
Picardie,1071
Poitou-Charentes,1017
Provence-Alpes-Côte d'Azur,4589
Reunion Island,≤100
Rhône-Alpes,3816
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7695
