Location name,Amount spent (ZAR)
Eastern Cape,840
Free State,484
Gauteng,3658
KwaZulu-Natal,1197
Limpopo,306
Mpumalanga,315
North West,252
Northern Cape,104
Unknown,≤100
Western Cape,15511
