Location name,Amount spent (EUR)
Alsace,457
Aquitaine,987
Auvergne,283
Basse-Normandie,322
Bourgogne,384
Bretagne,800
Centre,747
Champagne-Ardenne,274
Corse,102
Franche-Comté,246
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,527
Languedoc-Roussillon,831
Limousin,146
Lorraine,534
Martinique,212
Mayotte,≤100
Midi-Pyrénées,754
New Caledonia,≤100
Nord-Pas-de-Calais,889
Pays de la Loire,803
Picardie,381
Poitou-Charentes,402
Provence-Alpes-Côte d'Azur,1628
Reunion Island,154
Rhône-Alpes,1745
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3035
