Location name,Amount spent (SEK)
Blekinge County,2542
Dalarna County,5135
Gotland County,1295
Gävleborg County,5483
Halland County,5521
Jämtland County,2481
Jönköping County,6081
Kalmar County,4163
Kronoberg County,3205
Norrbotten County,5517
Skåne County,24968
Stockholm County,52405
Södermanland County,5553
Unknown,≤100
Uppsala County,7733
Värmland County,4796
Västerbotten County,5014
Västernorrland County,5069
Västmanland County,5161
Västra Götaland County,32361
Örebro County,5380
Östergötland County,9444
