Location name,Amount spent (HTG)
Artibonite Department,280
Centre Department,140
Grand'Anse Department,≤100
Nippes Department,140
Nord Department,280
Nord-Est Department,140
Nord-Ouest Department,140
Ouest Department,1538
Sud Department,≤100
Sud-Est Department,≤100
