Location name,Amount spent (HTG)
Artibonite Department,4712
Centre Department,1269
Grand'Anse Department,181
Nippes Department,181
Nord Department,2175
Nord-Est Department,1450
Nord-Ouest Department,1450
Ouest Department,14498
Sud Department,906
Sud-Est Department,725
