Location name,Amount spent (GTQ)
Alta Verapaz Department,270
Baja Verapaz Department,111
Chimaltenango Department,281
Chiquimula Department,194
El Progreso Department,≤100
Escuintla Department,415
Guatemala Department,11185
Huehuetenango Department,493
Izabal Department,328
Jalapa Department,130
Jutiapa Department,230
Petén Department,205
Quetzaltenango Department,624
Quiché Department,322
Retalhuleu Department,182
Sacatepéquez Department,666
San Marcos Department,1202
Santa Rosa Department,155
Sololá Department,191
Suchitepéquez Department,245
Totonicapán Department,161
Unknown,≤100
Zacapa Department,127
