Location name,Amount spent (CZK)
Central Bohemian Region,6961
Hradec Králové Region,3130
Karlovy Vary Region,1477
Liberec Region,2128
Moravian-Silesian Region,6433
Olomouc Region,3619
Pardubice Region,3312
Plzeň Region,3807
Prague,14329
South Bohemian Region,4187
South Moravian Region,7613
Unknown,≤100
Vysočina Region,2778
Zlín Region,3279
Ústí nad Labem Region,4803
