Location name,Amount spent (COP)
Amazonas,764
Antioquia,2614843
Arauca,5223
Atlantico,284538
Bolivar,115781
Boyaca,73591
Caldas,143671
Caqueta,43442
Casanare,9044
Cauca,106992
Cesar,26667
Choco,14045
Cordoba,113054
Cundinamarca,310108
Distrito Especial,7317254
Guainia,442
Guaviare,19733
Huila,88992
La Guajira,12786
Magdalena,83600
Meta,132351
Narino,22252
Norte de Santander,259869
Putumayo,156832
Quindio,18939
Risaralda,107557
San Andres y Providencia,1945
Santander,158740
Sucre,17105
Tolima,175302
Unknown,≤100
Valle del Cauca,2432573
Vaupes,282
Vichada,578
