Location name,Amount spent (CAD)
Alberta,10934
British Columbia,14594
Manitoba,2311
New Brunswick,1312
Newfoundland and Labrador,768
Northwest Territories,≤100
Nova Scotia,1868
Nunavut,≤100
Ontario,33352
Prince Edward Island,277
Quebec,13458
Saskatchewan,2226
Unknown,≤100
Yukon,145
