Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,218
Berane Municipality,≤100
Bijelo Polje Municipality,238
Budva Municipality,209
Danilovgrad Municipality,108
Herceg Novi Municipality,153
Kolašin Municipality,≤100
Nikšić Municipality,362
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,164
Plužine Municipality,≤100
Podgorica Capital City,1311
Rožaje Municipality,151
Tivat Municipality,207
Ulcinj Municipality,303
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
