Location name,Amount spent (UYU)
Artigas Department,338
Canelones Department,793
Cerro Largo Department,352
Colonia Department,484
Durazno Department,196
Flores Department,≤100
Florida Department,190
Lavalleja Department,371
Maldonado Department,424
Montevideo Department,2722
Paysandú Department,1695
Rivera Department,568
Rocha Department,220
Río Negro Department,187
Salto Department,540
San José Department,208
Soriano Department,296
Tacuarembó Department,285
Treinta y Tres Department,298
Unknown,≤100
