Location name,Amount spent (IDR)
Aceh,2293706
Bali,5284908
Bangka–Belitung Islands,704525
Banten,6490073
Bengkulu,1163758
Central Java,22460787
Central Kalimantan,1146703
Central Sulawesi,1839439
East Java,18640846
East Kalimantan,4006162
East Nusa Tenggara,5844923
Gorontalo,1452356
Jakarta,13080656
Jambi,1958045
Lampung,6434934
Maluku,1291472
North Kalimantan,581336
North Maluku,632615
North Sulawesi,4638396
North Sumatra,8709469
Papua (province),3516306
Riau,4837780
Riau Islands Province,1541946
South Kalimantan,1887324
South Sulawesi,6912982
South Sumatra,6583073
Southeast Sulawesi,1651258
Special Region of Yogyakarta,4132157
Unknown,6176
West Java,24416488
West Kalimantan,4177157
West Nusa Tenggara,1861364
West Papua,577229
West Sulawesi,671575
West Sumatra,2853103
